study_hours_per_week,sleep_hours_per_night,stress_level_1to10,caffeine_mg_per_day,exercise_minutes_per_week,social_media_minutes_per_day,commute_minutes_per_day,part_time_job_hours_per_week,attendance_rate_percent,late_study_ratio_0to1,morningness_score_0to1,year_of_study,age_years,quiz_score_avg,projects_completed,gpa_1to10,study_efficiency_score,manifold_1,manifold_2,label,profile
35.678434133817845,5.475363250751217,7.879473305542281,223.35244751589906,63.77402016042991,57.70159293096,7.259954882964649,14.514724109459866,88.5175938177702,0.4107071246925953,0.5427540480558665,2,24,72.27385481403624,3,6.430067477314587,2.025701423525518,0.6381520637699165,0.6810017131401337,2,Overworked Striver
7.506799738040049,6.699306744911315,4.356488426407209,98.10524736702486,97.66902984530263,426.2275967493958,43.754559910049025,0.0,75.1890000011271,0.6264073528714068,0.3661176383618425,2,21,53.20813039067507,0,4.619501558828512,7.087991187649185,-0.9426099565146935,1.1003935064647488,4,Procrastinator
16.457607332777656,5.528549886821034,6.04877886325026,173.53102249733615,113.79520104932553,188.5233422547455,27.130205999157617,5.848410187638903,71.59368953565675,0.49270949273742737,0.5109818014328918,3,22,42.974999613245984,2,5.262158547935152,2.6112544031631613,-0.45220925583436755,0.6832863475326603,1,Night Owl
25.438465868151248,8.114454257220395,3.1957639312679236,16.27556942506438,374.3594688326189,128.87372293875563,44.37306581166972,4.189949858628729,93.81908511309237,0.44697838550324986,0.5875378593524411,1,17,79.6143930698507,4,7.369762812880106,3.1296853152425075,0.49899341019039695,1.6416483783912736,3,Athlete Scholar
36.07056961512244,7.860540921088241,3.252124979864638,35.745753312402655,162.71633038717292,64.0350751344697,11.492491747449899,0.8674087895853608,85.99831839111796,0.24070741296796005,0.8146505513042047,3,23,79.5390611376973,4,7.665761331566132,2.2050957882392543,0.8692586257826744,1.0738428445105683,0,Balanced Achiever
35.39795186825467,7.734878020388906,3.057044476740672,56.07983047358084,169.02214418830948,134.01482722788893,28.107279597973744,8.241316712929027,90.96991520436083,0.2356438875049352,0.7513754109277762,3,24,70.92845637337817,4,7.975399615666667,2.003744641423384,0.6578429256938186,1.0596052998010705,0,Balanced Achiever
10.947594459110148,7.51485059860222,4.335322978792868,81.1350381615819,81.87750976366956,426.58540271086883,12.287501741081304,21.59000352361965,64.607811416232,0.7418744748544787,0.3373425358649964,3,21,40.79125258820381,3,4.607740956718514,3.726047100169935,-0.9601773004881634,0.7052718222156583,4,Procrastinator
42.246613825715,6.0655964655608585,8.815214056987587,265.0435234584631,44.47762767628056,55.800987834071,73.7208875346422,8.261637169917964,91.4224062170985,0.5418980995513799,0.44157837698006885,4,23,69.03922484066861,2,6.237072122840345,1.634195467723978,0.8428806464782498,0.9331424711889388,2,Overworked Striver
31.72532597836679,5.514976323701385,8.741981438441288,234.16468296166929,0.0,229.43569229016035,51.4408896015198,3.548478420563516,79.04479438623778,0.44743485367715763,0.5647962783785564,1,20,60.960960606915975,1,6.549500577729973,1.9215235376457502,-0.03712108281735443,0.45755629514731927,1,Night Owl
31.070144238003547,8.40799052010333,3.4592956490631575,3.4449894496211897,351.7501819482077,91.00269379052813,32.81279347284724,5.558680329105686,92.81473160726902,0.3305903981281668,0.690842162655997,2,19,96.3203504030713,2,8.513470999289229,3.1000934422845954,0.7506099749546403,1.4051985497852506,3,Athlete Scholar
29.904368396502925,4.706562985790186,7.329407348087664,245.15848620117785,47.52591809120828,19.55683333225933,43.18559975353862,24.97713781989804,89.21058073082634,0.22915059641745641,0.806634520615496,2,22,67.13647512133255,0,6.297199008064963,2.2450390602191628,0.3825609336806355,0.5925623600370414,2,Overworked Striver
23.93070725164784,7.600344161449469,2.7928550036122353,7.265009520586013,411.49088004829923,89.63555674485293,3.9581564909917795,9.099794796259896,96.25015945935522,0.2634620993886103,0.6969329591585003,3,22,79.62542009581266,2,8.055482045017914,3.3273325045723317,0.47545907154287936,1.5718634936231088,3,Athlete Scholar
